#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
1002559|1998-06-20T02:25:49.140000|38.368|12.818|10.0|BULLETIN-VAX||||Md|4.3|--|Costa Siciliana nord-occidentale (Trapani)|earthquake
1003099|1998-06-21T09:00:49.010000|38.425|12.795|5.0|BULLETIN-VAX||||Md|4.1|--|Tirreno Meridionale (MARE)|earthquake
1003159|1998-06-21T12:59:04.500000|38.429|12.787|5.0|BULLETIN-VAX||||Md|4.2|--|Tirreno Meridionale (MARE)|earthquake
1004249|1998-06-25T00:32:51.920000|43.005|12.862|4.5|BULLETIN-VAX||||Md|4.0|--|11 km SW Serravalle di Chienti (MC)|earthquake
1018729|1998-08-15T05:18:09.990000|42.446|13.058|5.0|BULLETIN-VAX||||Md|4.5|--|1 km S Micigliano (RI)|earthquake
1023389|1998-08-31T02:32:04.900000|46.003|14.992|10.0|BULLETIN-VAX||||Md|4.4|--|Slovenia (SLOVENIA)|earthquake
1025519|1998-09-09T11:28:00.240000|39.979|16.026|7.4|BULLETIN-VAX||||Md|5.0|--|3 km NW Rotonda (PZ)|earthquake
1026799|1998-09-14T05:24:49.810000|38.52|13.711|5.0|BULLETIN-VAX||||Md|4.1|--|Tirreno Meridionale (MARE)|earthquake
1042229|1998-12-13T22:57:46.580000|39.486|13.563|644.4|BULLETIN-VAX||||M|4.6|--|Tirreno Meridionale (MARE)|earthquake
1047809|1999-01-17T19:32:13.660000|38.969|17.849|10.0|BULLETIN-VAX||||Md|4.2|--|Mar Ionio Settentrionale (MARE)|earthquake
1049509|1999-01-25T22:45:58.170000|44.002|11.968|17.0|BULLETIN-VAX||||Md|4.3|--|2 km E Civitella di Romagna (FC)|earthquake
1052659|1999-02-14T11:45:53.360000|38.183|15.019|12.0|BULLETIN-VAX||||Md|4.3|--|Costa Siciliana nord-orientale (Messina)|earthquake
1077579|1999-06-02T10:36:59.420000|38.616|14.01|14.5|BULLETIN-VAX||||Md|4.0|--|Tirreno Meridionale (MARE)|earthquake
1084719|1999-07-07T17:16:11.850000|44.253|10.817|5.2|BULLETIN-VAX||||Md|4.6|--|4 km NE Sestola (MO)|earthquake
1085939|1999-07-10T07:56:42.210000|44.251|10.857|4.4|BULLETIN-VAX||||Md|4.0|--|7 km NE Fanano (MO)|earthquake
1100289|1999-10-10T15:35:52.260000|42.685|13.108|5.0|BULLETIN-VAX||||Md|4.0|--|9 km NW Cittareale (RI)|earthquake
1113079|1999-12-29T20:42:37.570000|46.613|10.304|5.0|BULLETIN-VAX||||Md|4.5|--|Confine Italia-Svizzera (SVIZZERA)|earthquake
1113379|1999-12-30T18:34:41.270000|38.269|12.141|10.2|BULLETIN-VAX||||Md|4.3|--|Tirreno Meridionale (MARE)|earthquake
1128369|2000-03-11T10:35:27.070000|41.956|13.068|5.0|BULLETIN-VAX||||Md|4.3|--|3 km NE Canterano (RM)|earthquake
1132099|2000-03-30T09:32:10.250000|39.414|16.293|323.4|BULLETIN-VAX||||Md|4.0|--|2 km NW Rose (CS)|earthquake
1132509|2000-04-01T18:08:05.160000|42.939|11.733|7.5|BULLETIN-VAX||||Md|4.0|--|5 km NW Radicofani (SI)|earthquake
1133649|2000-04-06T17:40:38.860000|46.68|10.285|5.0|BULLETIN-VAX||||Md|4.2|--|Confine Italia-Svizzera (SVIZZERA)|earthquake
1143049|2000-04-26T13:28:43.210000|40.883|10.269|10.0|BULLETIN-VAX||||Md|4.2|--|Tirreno Centrale (MARE)|earthquake
1143059|2000-04-26T13:37:50.630000|40.969|10.294|10.0|BULLETIN-VAX||||Md|4.7|--|Tirreno Centrale (MARE)|earthquake
1145689|2000-05-02T08:48:49.520000|44.286|11.972|9.8|BULLETIN-VAX||||Md|4.0|--|7 km E Faenza (RA)|earthquake
1148069|2000-05-05T20:42:01.680000|44.014|13.193|5.0|BULLETIN-VAX||||Md|4.1|--|Costa Marchigiana Pesarese (Pesaro-Urbino)|earthquake
1148469|2000-05-06T22:07:04.330000|44.286|11.904|10.0|BULLETIN-VAX||||Md|4.2|--|2 km E Faenza (RA)|earthquake
1151389|2000-05-08T12:29:56.700000|44.27|11.95|10.0|BULLETIN-VAX||||Md|4.3|--|6 km E Faenza (RA)|earthquake
1153769|2000-05-09T17:51:21.020000|44.22|12.003|13.7|BULLETIN-VAX||||Md|4.0|--|3 km W Forlì (FC)|earthquake
1154289|2000-05-10T16:52:11.570000|44.248|11.942|13.1|BULLETIN-VAX||||Md|4.5|--|6 km SE Faenza (RA)|earthquake
1156009|2000-05-11T10:57:47.580000|44.295|11.854|4.8|BULLETIN-VAX||||Md|4.0|--|3 km W Faenza (RA)|earthquake
1156119|2000-05-11T11:57:15.750000|44.293|11.968|5.1|BULLETIN-VAX||||Md|4.1|--|7 km E Faenza (RA)|earthquake
1157579|2000-05-12T11:26:39.050000|44.276|11.905|3.9|BULLETIN-VAX||||Md|4.1|--|2 km SE Faenza (RA)|earthquake
1167169|2000-06-11T22:55:31.410000|43.151|12.763|5.0|BULLETIN-VAX||||Md|4.0|--|5 km NW Nocera Umbra (PG)|earthquake
1168739|2000-06-18T07:42:07.240000|44.808|10.703|5.0|BULLETIN-VAX||||Md|4.5|--|5 km SW Novellara (RE)|earthquake
1169609|2000-06-22T12:16:36.260000|43.363|12.403|23.2|BULLETIN-VAX||||Md|4.3|--|6 km E Montone (PG)|earthquake
1170689|2000-06-27T07:32:32.070000|41.983|13.036|5.0|BULLETIN-VAX||||Md|4.0|--|E Agosta (RM)|earthquake
1176469|2000-08-01T02:34:30.890000|43.928|12.317|5.0|BULLETIN-VAX||||Md|4.2|--|3 km NE Talamello (RN)|earthquake
1180259|2000-08-21T17:14:28.250000|44.908|8.388|5.0|BULLETIN-VAX||||Md|4.8|--|2 km W Quattordio (AL)|earthquake
1187739|2000-10-03T01:12:36.950000|44.326|10.663|5.0|BULLETIN-VAX||||Md|4.0|--|1 km E Palagano (MO)|earthquake
1197549|2000-11-05T17:26:27.720000|37.65|15.013|5.0|BULLETIN-VAX||||Md|4.0|--|4 km NW Nicolosi (CT)|earthquake
1207339|2000-12-16T07:31:06.930000|42.528|12.624|7.7|BULLETIN-VAX||||Md|4.0|--|4 km SW Terni (TR)|earthquake
1215939|2001-02-06T22:28:45.270000|44.05|8.616|13.5|BULLETIN-VAX||||Md|4.0|--|Costa Ligure centro-occidentale (Savona)|earthquake
1220369|2001-02-25T18:34:43.710000|43.603|7.546|10.0|BULLETIN-VAX||||Md|4.1|--|Costa Ligure Occidentale (Imperia)|earthquake
1238569|2001-05-17T11:43:54.850000|38.851|15.735|258.0|BULLETIN-VAX||||ML|5.1|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)|earthquake
1250779|2001-07-01T01:49:08.090000|47.256|15.634|10.0|BULLETIN-VAX||||M|5.0|--|Austria (AUSTRIA)|earthquake
1257459|2001-07-13T03:13:34.270000|37.673|15.095|5.0|BULLETIN-VAX||||Md|4.0|--|3 km S Zafferana Etnea (CT)|earthquake
1259909|2001-07-17T15:06:14.980000|46.626|11.049|3.5|BULLETIN-VAX||||Md|4.8|--|3 km S Plaus (BZ)|earthquake
1260199|2001-07-18T22:47:11.760000|44.943|8.466|10.1|BULLETIN-VAX||||Md|4.0|--|2 km W Quargnento (AL)|earthquake
1267439|2001-08-17T03:15:09.210000|38.323|14.741|237.0|BULLETIN-VAX||||ML|4.1|--|Costa Siciliana nord-orientale (Messina)|earthquake
1279389|2001-10-18T18:08:30.890000|38.512|15.101|238.9|BULLETIN-VAX||||ML|4.1|--|Isole Eolie (Messina)|earthquake
1286889|2001-11-25T19:34:18.680000|37.726|13.97|5.0|BULLETIN-VAX||||Md|4.0|--|7 km NW Resuttano (CL)|earthquake
1287019|2001-11-26T00:56:54.770000|43.598|12.113|5.0|BULLETIN-VAX||||Md|4.3|--|4 km NW Sansepolcro (AR)|earthquake
1304759|2002-02-14T03:18:02.700000|46.444|13.229|12.1|BULLETIN-VAX||||Md|4.8|--|4 km NE Moggio Udinese (UD)|earthquake
1315529|2002-04-10T21:15:13.600000|42.336|19.892|10.0|BULLETIN-VAX||||ML|4.1|--|Albania [Land]|earthquake
1316399|2002-04-16T07:42:58.710000|43.014|18.088|10.0|BULLETIN-VAX||||M|4.0|--|Bosnia and Herz. [Land]|earthquake
1316619|2002-04-17T06:42:54.350000|39.7|16.844|5.0|BULLETIN-VAX||||Md|4.3|--|Costa Ionica Cosentina (Cosenza)|earthquake
1317119|2002-04-18T20:56:47.930000|40.612|15.594|4.7|BULLETIN-VAX||||ML|4.1|--|5 km SW Picerno (PZ)|earthquake
1331949|2002-06-18T22:23:38.260000|44.455|10.768|18.7|BULLETIN-VAX||||Md|4.1|--|4 km NW Serramazzoni (MO)|earthquake
1349199|2002-09-06T01:21:28.570000|38.381|13.701|5.0|BULLETIN-VAX||||ML|5.6|--|Costa Siciliana centro-settentrionale (Palermo)|earthquake
1349239|2002-09-06T01:33:15.910000|38.381|13.67|5.0|BULLETIN-VAX||||ML|4.2|--|Costa Siciliana centro-settentrionale (Palermo)|earthquake
1355989|2002-09-10T02:32:51.290000|38.467|13.701|5.0|BULLETIN-VAX||||ML|4.0|--|Tirreno Meridionale (MARE)|earthquake
